Timestamp,How often do you buy coffee on campus?  ,What time do you usually buy coffee?,Where do you usually buy coffee on or near campus?  ,How much usually do you wait for your coffee order?,What problems do you usually face when buying coffee on campus? (select all that apply),How satisfied are you on scale from 1 to 5 with the current coffee options on campus?  ,Have you heard about Samad's Coffee Station Telegram ordering bot?,"If yes, have you ever used it?","If you haven't used the Telegram bot, why not? (select all that apply)",What would encourage you to use the Telegram ordering bot?,How satisfied are you on scale from 1 to 5 with Samad's Coffee Station overall?,Any additional comments or suggestions? (new drinks or snack)
10/15/2025 17:15:14,1-2 times a week,Late morning (10:00–12:00),Samad's coffee,more than 5 minutes,"Too crowded during breaks, Limited drink options, Price too high",4,No,"No, but I plan to","I didn't know about it, I prefer to order in person","Faster service / skip the line, Option to customize drinks",4,
10/15/2025 22:50:17,Rarely,Morning (8:00–10:00),Fretta,more than 5 minutes,Limited drink options,3,No,"Yes, once or twice",I prefer to order in person,Discounts or loyalty rewards,4,
10/15/2025 22:52:40,Never,Late morning (10:00–12:00),Safia,1-2 minutes,No problems,5,Yes,"No, but I plan to",It seems complicated,Discounts or loyalty rewards,5,
10/15/2025 22:54:08,Rarely,Morning (8:00–10:00),universty caffe ,3-5 minutes,Limited drink options,5,No,"No, not interested",I didn't know about it,Option to customize drinks,5,
10/15/2025 23:01:29,Rarely,Morning (8:00–10:00),Samad's coffee,3-5 minutes,Price too high,4,No,"No, but I plan to",I prefer to order in person,Discounts or loyalty rewards,4,
10/15/2025 23:02:09,3-4 times a week,Late morning (10:00–12:00),Safia,3-5 minutes,"Too crowded during breaks, Price too high",4,No,"No, not interested",I prefer to order in person,Option to customize drinks,,
10/15/2025 23:04:20,Rarely,Late morning (10:00–12:00),It cafe,1-2 minutes,"Too crowded during breaks, Limited drink options, Price too high",2,No,"No, not interested","I prefer to order in person, I don't drink coffee often","Discounts or loyalty rewards, Option to customize drinks",3,
10/15/2025 23:06:40,Rarely,Morning (8:00–10:00),Azbi coffee,3-5 minutes,No problems,5,No,"No, but I plan to",I don't drink coffee often,"Discounts or loyalty rewards, Faster service / skip the line",,
10/15/2025 23:30:27,Never,Morning (8:00–10:00),Safia,3-5 minutes,Too crowded during breaks,4,Yes,"No, but I plan to",I don't drink coffee often,"Discounts or loyalty rewards, Faster service / skip the line",5,
10/15/2025 23:32:20,Never,Afternoon (12:00–16:00),Samad's coffee,3-5 minutes,Too crowded during breaks,5,No,"No, but I plan to",I didn't know about it,Faster service / skip the line,5,
